fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file
2017,Iron Ore,Maharashtra,1222.0,1151427.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Odisha,50694.0,59421386.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Rajasthan,3.0,528.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Odisha,59.0,111281.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Iron Ore,Rajasthan,1032.0,1727456.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Andhra Pradesh,32579.0,6556564.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Chhattisgarh,27667.0,7013331.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Gujarat,25622.0,4370924.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Jharkhand,1076.0,509938.0,11302017125132MSMP_MARCH 17_final_release.pdf
2017,Limestone,Karnataka,27062.0,4325671.0,11302017125132MSMP_MARCH 17_final_release.pdf
